# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
bagnardio	Platform	2	vertical	bagman	Le Bagnard (Itisa, Spain, older)	1982	Valadon Automation (Itisa license)
bakatono	Mahjong	2	horizontal		Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002)	1991	Monolith Corp.
bakubrkr	Vertical shooter	2	vertical	explbrkr	Bakuretsu Breaker (Japan)	1992	Kaneko
bakutotu	Horizontal shooter	2	horizontal		Bakutotsu Kijuutei	1988	Namco
balcube	Puzzle	2	horizontal		Bal Cube	1996	Metro
ballboy	Platform	2	horizontal	snowbro3	Ball Boy (2 players)	2003	bootleg
ballboy3p	Platform	2	horizontal	snowbro3	Ball Boy (3 players)	2004	bootleg
ballbros	Puzzle	2	horizontal		Balloon Brothers	1992	East Technology
baluba	Platform	2	vertical		Baluba-louk no Densetsu (Japan)	1986	Able Corp, Ltd.
banbam	Action / Maze	2	horizontal		BanBam	1984	Sun Electronics
bang	Shooter	2	horizontal		Bang! (version 2, checksum 140E)	1998	Gaelco / Bit Managers
banga	Shooter	2	horizontal	bang	Bang! (version 2, checksum D35D)	1998	Gaelco / Bit Managers
bangb	Shooter	2	horizontal	bang	Bang! (version 0, checksum B61D)	1998	Gaelco / Bit Managers
bangball	Puzzle	2	horizontal		Bang Bang Ball (v1.05)	1996	Banpresto / Kunihiko Tashiro+Goodhouse
bangbead	Ball & paddle	2	horizontal		Bang Bead	2000	Visco
bangbedp	Ball & paddle	2	horizontal	bangbead	Bang Bead (Prototype?)	2000	Visco
bangj	Shooter	2	horizontal	bang	Gun Gabacho (Japan, version 2, checksum C6BB)	1999	Gaelco / Bit Managers (GM Shoji license)
bangja	Shooter	2	horizontal	bang	Gun Gabacho (Japan, version 2, checksum 1C8C)	1999	Gaelco / Bit Managers (GM Shoji license)
bangjb	Shooter	2	horizontal	bang	Gun Gabacho (Japan, version 2, checksum B75B)	1999	Gaelco / Bit Managers (GM Shoji license)
bankp	Shooter	3	horizontal		Bank Panic	1984	Sanritsu / Sega
bankpt	Shooter	3	horizontal	bankp	Bank Panic (Tecfri bootleg)	1984	bootleg (Tecfri)
baracuda	Maze / Action	2	vertical	puckman	Barracuda	1981	hack (Coinex)
baraduke	Horizontal shooter	2	horizontal	aliensec	Baraduke	1985	Namco
baryon	Vertical shooter	2	vertical		Baryon - Future Assault (set 1)	1997	SemiCom / Tirano
baryona	Vertical shooter	2	vertical	baryon	Baryon - Future Assault (set 2)	1997	SemiCom / Tirano
basketbal	Sports	2	horizontal	archrivl	Basket Ball (8-way joystick bootleg of Arch Rivals)	1989	bootleg
batcir	Beat 'em up	4	horizontal		Battle Circuit (Europe 970319)	1997	Capcom
batcira	Beat 'em up	4	horizontal	batcir	Battle Circuit (Asia 970319)	1997	Capcom
batcird	Beat 'em up	4	horizontal	batcir	Battle Circuit (Europe 970319 Phoenix Edition) (bootleg)	1997	bootleg
batcirj	Beat 'em up	4	horizontal	batcir	Battle Circuit (Japan 970319)	1997	Capcom
batlball	Puzzle	2	horizontal	senkyu	Battle Balls (Germany, newer)	1995	Seibu Kaihatsu (Tuning license)
